DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-03-10T19:24:28+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-03-10T19:24:28+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-03-10T21:29:30+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-03-10T21:29:30+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-03-11T09:52:53+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-03-11T09:52:53+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-03-11T10:34:48+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-03-11T10:34:48+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-03-11T10:48:33+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-03-11T10:48:33+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-03-11T10:50:02+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-03-11T10:50:02+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-03-11T11:03:34+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-03-11T11:03:34+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-03-12T09:48:36+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-03-12T09:48:36+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-03-12T10:35:05+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-03-12T10:35:05+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-03-12T10:36:54+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-03-12T10:36:54+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-03-12T11:02:52+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-03-12T11:02:52+0000] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
